pc,delta_in,delta_out
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852194,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852194,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852194,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852194,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852194,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852194,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852194,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
