pc,delta_in,delta_out
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,1
140269433803529,1,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,1
140269433803507,1,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,460
140269433803540,460,-460
140269433803504,-460,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,-461
140269433803504,-461,461
140269433803540,461,218
140269433803548,218,-220
140269433802158,-220,113872190
140269433802162,113872190,-8
140269433802262,-8,8
140269433802281,8,113872649
140269433802284,113872649,-113871970
140269433802291,-113871970,113871970
140269433802298,113871970,-113872675
140269433802331,-113872675,705
140269433802367,705,-705
140269433802499,-705,113872675
140269433802502,113872675,-113872661
140269433794795,-113872661,113872661
140269433794798,113872661,-113872661
140269433794860,-113872661,81189
140269433794869,81189,113791472
140269433794892,113791472,-113871970
140269433794936,-113871970,113871970
140269433794954,113871970,-113791471
140269433791700,-113791471,113791470
140269433791704,113791470,-113791470
140269433791762,-113791470,113791470
140269433791765,113791470,-113871969
140269433791935,-113871969,80499
140269433791940,80499,-2
140269433791972,-2,2
140269433791792,2,113791471
140269433791802,113791471,-113791471
140269433791813,-113791471,113791471
140269433791817,113791471,-11305100548
140269433791829,-11305100548,11305100547
140269433791833,11305100547,-113791470
140269433791838,-113791470,-11191309077
140269433791842,-11191309077,11305100547
140269433791846,11305100547,-113791470
140269433791850,-113791470,-11191309108
140269433791887,-11191309108,11191228609
140269433791935,11191228609,80497
140269433791972,80497,-80497
140269433791792,-80497,113871970
140269433791802,113871970,-113871970
140269433791813,-113871970,113871970
140269433791817,113871970,-113872190
140269433791829,-113872190,113872189
140269433791833,113872189,-113871969
140269433791838,-113871969,-220
140269433791842,-220,113872189
140269433791846,113872189,-113871969
140269433791850,-113871969,-711
140269433791887,-711,711
140269433792440,711,-711
140269433792447,-711,711
140269433792458,711,113871969
140269433792465,113871969,1
140269433792508,1,-1
140269433792532,-1,-113872678
140269433792557,-113872678,709
140269433792578,709,113871969
140269433792610,113871969,-113872674
140269433791290,-113872674,113872674
140269433791295,113872674,-113872674
140269433791300,-113872674,113872674
140269433791305,113872674,-113872674
140269433791317,-113872674,705
140269433791389,705,-687
140269433791415,-687,687
140269433791432,687,113871969
140269433791575,113871969,-113872657
140269433873946,-113872657,113872675
140269433792414,113872675,-113872675
140269433795086,-113872675,705
140269433795104,705,80497
140269433795138,80497,113791473
140269433795160,113791473,-113871970
140269433802536,-113871970,-705
140269433804248,-705,705
140269433803972,705,-705
140269433803978,-705,81193
140269433802584,81193,-81167
140269433802615,-81167,-9
140269433802262,-9,9
140269433802281,9,113872649
140269433802284,113872649,-113871970
140269433802291,-113871970,113871970
140269433802298,113871970,-113872677
140269433802331,-113872677,707
140269433803972,707,-707
140269433803978,-707,81195
140269433802584,81195,-80488
140269433803133,-80488,-707
140269433803154,-707,28
140269433803168,28,459
140269433803172,459,-459
140269433802224,-459,-9
140269433802262,-9,9
140269433802281,9,113872649
140269433802284,113872649,-113871970
140269433802291,-113871970,113871970
140269433802298,113871970,-113872677
140269433802331,-113872677,707
140269433803972,707,-707
140269433803978,-707,81195
140269433802584,81195,-80488
140269433803133,-80488,-707
140269433803154,-707,28
140269433803168,28,459
140269433803172,459,-459
140269433802224,-459,-9
140269433802262,-9,9
140269433802281,9,113872649
140269433802284,113872649,-113871970
140269433802291,-113871970,113871970
140269433802298,113871970,-113872677
140269433802331,-113872677,707
140269433803972,707,-707
140269433803978,-707,81195
140269433802584,81195,-80488
140269433803133,-80488,-707
140269433803154,-707,28
140269433803168,28,459
